,name,summary,property_type,room_type,bed_type,minimum_nights,maximum_nights,first_review,last_review,bedrooms,Country,Total_price,Review
2754,"900+sq ft Modern Comfy Apartment, TST Centre","A spacious, 2 kingsize bedrooms apartment located in the centre of Tsim Sha Tsui, next to Tsim Sha Tsui Station. Just started on Airbnb and offering my modern with art style apartment. Perfectly located 2 big bedrooms apartment plus a huge living room in the center of TST (next to TST Station). Within a 1 minute walk, you will reach *exit D and *exit N2 of the TST MTR station.",Apartment,Entire home/apt,Real Bed,2,1124,2018-04-15 04:00:00.000000000,2018-12-10 05:00:00.000000000,2.0,Hong Kong,4958.0,11
2755,Room A4,"Room in Appartment in the centre of the city of barcelona, few meters to all the stops, aerobus, metros, trains,etc. A direct connection with the airport and to a few seconds of famous Plaça Catalunya and the Rambla, the room is for who want to explore the city and spend agreeable days here. See you Soon. im sure you will like it.",Apartment,Private room,Real Bed,1,1125,2018-04-09 04:00:00.000000000,2019-02-09 05:00:00.000000000,1.0,Spain,89.0,0
2756,2 Rooms Apt Max5 center of Mongkok,"Mongkok MTR station just 5 mins walk, quiet at night yet center of Mongkok, great for family stay, shoppings, thousands of local restaurants, famous tourist spots near by ladies market, Langham place. It locates between middle of Disney and Ocean Park. Notice:1 kid under 3 is free. From second kids count as adult in any age. All kids above 4 count as adult fee.",Apartment,Entire home/apt,Real Bed,2,7,2018-04-02 04:00:00.000000000,2019-02-28 05:00:00.000000000,2.0,Hong Kong,1802.0,45
2757,"Haiku's Best#5--AC, Netflix, Discounts @ 3 nights+","This comfy. self-contained and traveler friendly 1-bedroom unit sits in a residential neighborhood, minutes away from some of the best surfing in Maui-and that's saying something!  There's also world-class shopping and great food a mere five minutes’ drive. If you have any special needs such as more blankets, sheets, towels, infant furniture, the need for a box spring or a more firm or softer mattress we have a whole supply room full of (Website hidden by Airbnb) don't be shy.  Your comfort is assured.",Condominium,Entire home/apt,Real Bed,1,1125,2018-04-12 04:00:00.000000000,2019-03-02 05:00:00.000000000,1.0,United States,183.0,36
2758,Cozy Room near the Beach and 10 min away city cent,"The loft is an old workship reformed as a home with a NY Loft style, 3 blocks from the beach and two metro stations from the center of the city (Cataluña Square, Ramblas). The neighborhood have its on style full of brunch restaurants and nice bars. youthful and fun atmosphere, for people who appreciate the urban art &  trendy vintage atmosphere , not suitable for couples looking for a luxurious environment.",Loft,Private room,Real Bed,3,20,2018-05-06 04:00:00.000000000,2019-01-30 05:00:00.000000000,1.0,Spain,265.0,0
2759,Habitación doble en el centro de la ciudad,Habitacion doble excelente para pasar un super fin de semana cerca de la playa de barceloneta.Tres lineas de metro y el tren que va directo al aeropuerto.,Apartment,Private room,Real Bed,2,30,2018-04-02 04:00:00.000000000,2019-03-03 05:00:00.000000000,1.0,Spain,57.0,0
2760,Mr. world traveler,"Very spacious rooms with sun light all day, All guests will have full access to the entire place kitchen, laundry room, living room, and Garage everything is fully equipped. I just go home to sleep and shower . I will garanti you a pleasant and relaxing stay .",Apartment,Private room,Real Bed,2,7,2018-05-30 04:00:00.000000000,2018-08-21 04:00:00.000000000,2.0,Portugal,54.0,9
2761,"Centre of Kadikoy, cozy apartment","Cozy apartment in centre of the Kadiköy. There are restaurants, bars and cafes in this areas. Also you can walk subway, buses and ferry about 10 minutes.",Serviced apartment,Entire home/apt,Real Bed,2,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Turkey,295.0,0
2762,(inRAMBLAS) 1double room! Historic center,"Céntrica habitación  doble  privada con baño compartido en el centro de Barcelona Mira las fotos: Habitación tiene 2 entradas la puerta principal y la puerta  antigua con cristal( ver foto), que da a una terraza.   y el baño está al lado de la habitación. Vivirás la experiencia de como es una típica casa del cetro histórico de la ciudad ciudad bella.  Apartamento situado en plena en ramblas. BARRIO GÓTICO.  VERY IMPORTANT : we ONLY ACCEPT QUIET GUESTS . This is an easy going but a quiet house!  Please be aware we DON'T ACCEPT PARTIES , ALCOHOL BEHAVIOUR , or any kind of LOUD MUSIC , or noises that can disturb the peace in the apartment and the neighbourhood.",Apartment,Private room,Real Bed,2,30,2018-04-01 04:00:00.000000000,2019-03-06 05:00:00.000000000,1.0,Spain,226.0,0
2763,Leighton Apartment - Times #E (禮寓-時代館 #E),"Newly renovated Inn,5min walk to Time Squares Causeway Bay, best location in town. Building has lift and security, we have Free WiFi, 24hrs check-in, use of refrigerator and Nessproso coffee machine in the common area.The room has private toilet with all free amenities like shampoo,bath gel, toothbrush, etc. A double bed (extra matress on request) with good quality sheet, feather blanket.全新豪華裝修,五分鐘步行到時代廣場,鬧市中安靜後花園豪宅區｡大樓有電梯保安,免費無綫網路,24小時入住,前枱共用免費冰箱咖啡機｡獨立衞浴,一張大床,可另加一張單人床墊,免費提供盥洗用品毛巾瓶裝水,優質床單羽絨被枕頭",Apartment,Private room,Real Bed,1,1125,2018-04-15 04:00:00.000000000,2019-01-23 05:00:00.000000000,0.0,Hong Kong,628.0,6
2764,Big double room with private bathroom,"Big double room (2.80x4.80m) with brand new private bathroom. 5 minutes walk to main train station (Sants Estacio), 2 minutes to tube station and 10 minutes to Plaza España/Montjuic Mountain. 20 minutes to city center.",Apartment,Private room,Real Bed,2,1125,2018-05-06 04:00:00.000000000,2019-01-02 05:00:00.000000000,1.0,Spain,55.0,0
2765,Ka maluhia a me ke aloha Kohala,"On clear nights you can see the Milky Way from your lanai and millions of stars! Enjoy a very peaceful, OCEAN VIEW Ohana unit(s) on a private road, at a cool 1555 feet elevation. You will enjoy the melody of exotic birds singing in the mornings and evenings and on occasion get to see some wild turkeys and Jackson chameleons. We are located 15 minutes from the heart of Kona; 30 minutes to Waikoloa. 20% discount off of a night manta experience when you stay with us!",Guesthouse,Entire home/apt,Real Bed,1,90,2018-04-13 04:00:00.000000000,2018-12-15 05:00:00.000000000,1.0,United States,385.0,12
2766,Tranquillité en ville près de tous,"Joli appartement dans un quartier calme mais dynamique près de tous les services restos, bars, piste cyclable , parc , épicerie et dépanneur , rue commerciale ( St-Hubert ) , 10minutes à pied des stations de métro Jean-Talon et Jarry à 6 stations ligne directe avec le centre ville .  Notre appartement est simple mais très agréable avec toutes les commodités  bien éclairé avec un beau grand balcon table et chaises pour déjeuner ou se reposer.",Condominium,Entire home/apt,Real Bed,7,1125,2018-06-14 04:00:00.000000000,2018-11-02 04:00:00.000000000,1.0,Canada,64.0,3
2767,"HKJL03-D Mongkok cozy R,kitchen,1.2*2m bed,wifi","Thank you for your interests. The flat just redecorated and everything is new. This is one of the room in the flat. The room has private bathroom and toilet,we provide hot water for 24hours.And there is a small kitchen in room just like the picture shows. The bed is double size and it is 1.2m width *2m length, It is friendly for a taller friend.",Condominium,Private room,Real Bed,1,365,2018-04-08 04:00:00.000000000,2019-01-02 05:00:00.000000000,1.0,Hong Kong,522.0,11
2768,boğaz & doğa manzaralı,lüks dayalı döşeli,Casa particular (Cuba),Entire home/apt,Real Bed,10,30,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Turkey,501.0,0
2769,Apartamento Céntrico,Es un lugar tranquilo y muy turístico está en unos pasos de plaza España,Guesthouse,Private room,Real Bed,1,1125,2018-04-02 04:00:00.000000000,2019-01-02 05:00:00.000000000,1.0,Spain,85.0,0
2770,The Mile End Nest,"The Mile End Nest is a cozy modern apartment on 2 levels with an exceptionally large private rooftop terrace located in the heart of Montreal's trendiest neighborhoods, the Mile End. The natural light fills in this space thanks to the abundance of windows. Our terrace is accessible starting May 15th - October 15th (Weather permitting) Please note this is an animal-friendly home (Subject to approval)",Apartment,Entire home/apt,Real Bed,3,1125,2014-03-31 04:00:00.000000000,2019-02-17 05:00:00.000000000,1.0,Canada,749.0,33
2771,Free Parking! North Star Flats@Ribeira & Cellars 5,"Apartamento duplex no coração das caves do Vinho do Porto, pertíssimo da Av. Diogo Leite, sendo esta o melhor local para fotografar e admirar a Ribeira do Porto – Património Mundial da UNESCO. Está apenas a pouco minutos a pé da famosíssima Ponte D. Luís I, do centro do Porto e dos principais monumentos de interesse. É um apartamento confortável com decoração moderna e vistas para a Ponte Dom Luís I. É o local perfeito para descansar após deambular pela cidade. Vai adorar hospedar-se aqui!",Apartment,Entire home/apt,Real Bed,2,1125,2018-04-14 04:00:00.000000000,2019-01-27 05:00:00.000000000,1.0,Portugal,70.0,56
2772,"Kona Reef, F5 - Beautiful remodeled Condo stunning ocean/sunset views","Welcome to paradise! Located on the first level of the complex, walk straight into a modern, luxurious, and fully appointed beach retreat. This beautiful unit has everything you may need while on your vacation in Hawaii. Newly remodeled with lovely beach decor, spacious, and with all the amenities. Perfectly located within walking distance to all of the best ocean-front restaurants and shops. Take a stroll down to Daylight Mind for some famous Kona coffee, and a fresh baked pastry.",Condominium,Entire home/apt,Real Bed,1,720,2018-06-18 04:00:00.000000000,2019-02-11 05:00:00.000000000,1.0,United States,629.0,10
